mes;ano;contagem
 1;2015;  3
 1;2015;  0
 1;2015;  1
 1;2015;  1
 1;2015; 45
 1;2015;  1
 1;2015;  0
 1;2015;  0
 1;2015; 10
 1;2015;  0
 1;2015;  6
 1;2015;  0
 1;2015;  7
 1;2015; 74
 1;2015;  4
 1;2015;  0
 1;2015;  7
 1;2015;  3
 1;2015;103
 1;2015; 21
 1;2015;  0
 1;2015;  0
 1;2015; 15
 1;2015;  0
 1;2015;  4
 1;2015;  0
 1;2015; 16
 1;2015;173
 1;2015;  4
 1;2015;  1
 1;2015;  5
 1;2015;  4
 1;2015; 98
 1;2015;  2
 1;2015;  0
 1;2015;  0
 1;2015; 18
 1;2015;  0
 1;2015;  2
 1;2015;  0
 1;2015; 15
 1;2015;149
 1;2015;  4
 1;2015;  0
 1;2015;  9
 1;2015;  0
 1;2015; 48
 1;2015;  4
 1;2015;  0
 1;2015;  0
 1;2015;  6
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015; 11
 1;2015; 82
 1;2015;  0
 1;2015;  0
 1;2015; 12
 1;2015;  0
 1;2015; 31
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015;  6
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015; 11
 1;2015; 60
 1;2015; 10
 1;2015;  0
 1;2015; 14
 1;2015;  1
 1;2015;107
 1;2015;  4
 1;2015;  0
 1;2015;  1
 1;2015; 19
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015; 27
 1;2015;183
 1;2015;  4
 1;2015;  0
 1;2015;  4
 1;2015;  1
 1;2015; 47
 1;2015;  7
 1;2015;  0
 1;2015;  0
 1;2015;  5
 1;2015;  0
 1;2015;  1
 1;2015;  0
 1;2015; 24
 1;2015; 93
 1;2015;  1
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015;  1
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015;  1
 1;2015;  3
 1;2015;  2
 1;2015;  0
 1;2015;  0
 1;2015;  1
 1;2015; 42
 1;2015;  6
 1;2015;  0
 1;2015;  0
 1;2015;  8
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015; 34
 1;2015; 93
 1;2015;  6
 1;2015;  0
 1;2015;  3
 1;2015;  0
 1;2015; 28
 1;2015;  5
 1;2015;  0
 1;2015;  0
 1;2015;  3
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015; 15
 1;2015; 60
 1;2015;  4
 1;2015;  1
 1;2015;  3
 1;2015;  3
 1;2015; 58
 1;2015;  6
 1;2015;  0
 1;2015;  0
 1;2015; 14
 1;2015;  0
 1;2015;  1
 1;2015;  0
 1;2015; 47
 1;2015;137
 1;2015;  1
 1;2015;  0
 1;2015;  1
 1;2015;  0
 1;2015; 15
 1;2015;  1
 1;2015;  0
 1;2015;  0
 1;2015;  4
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015; 10
 1;2015; 32
 1;2015;  9
 1;2015;  2
 1;2015; 15
 1;2015;  2
 1;2015; 65
 1;2015; 25
 1;2015;  0
 1;2015;  0
 1;2015; 18
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015; 73
 1;2015;209
 1;2015;  5
 1;2015;  0
 1;2015; 15
 1;2015; 20
 1;2015; 82
 1;2015; 23
 1;2015;  0
 1;2015;  0
 1;2015; 12
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015; 23
 1;2015;180
 1;2015;  8
 1;2015;  1
 1;2015; 10
 1;2015;  0
 1;2015; 80
 1;2015;  8
 1;2015;  0
 1;2015;  0
 1;2015; 14
 1;2015;  0
 1;2015;  2
 1;2015;  0
 1;2015; 12
 1;2015;135
 1;2015; 11
 1;2015;  1
 1;2015;  7
 1;2015;  3
 1;2015; 59
 1;2015;  3
 1;2015;  0
 1;2015;  0
 1;2015; 17
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015;  6
 1;2015;107
 1;2015; 14
 1;2015;  3
 1;2015; 13
 1;2015;  7
 1;2015; 81
 1;2015;  3
 1;2015;  0
 1;2015;  0
 1;2015;  6
 1;2015;  0
 1;2015;  2
 1;2015;  0
 1;2015;  6
 1;2015;135
 1;2015;  8
 1;2015;  1
 1;2015; 34
 1;2015; 18
 1;2015;112
 1;2015; 45
 1;2015;  0
 1;2015;  0
 1;2015;  5
 1;2015;  0
 1;2015;  3
 1;2015;  0
 1;2015; 36
 1;2015;262
 1;2015; 28
 1;2015;  0
 1;2015; 33
 1;2015; 24
 1;2015; 82
 1;2015; 13
 1;2015;  0
 1;2015;  0
 1;2015;  8
 1;2015;  0
 1;2015;  3
 1;2015;  0
 1;2015; 16
 1;2015;207
 1;2015; 10
 1;2015;  0
 1;2015; 38
 1;2015;  4
 1;2015;125
 1;2015;  3
 1;2015;  0
 1;2015;  0
 1;2015; 34
 1;2015;  0
 1;2015;  2
 1;2015;  0
 1;2015; 14
 1;2015;230
 1;2015;  9
 1;2015;  0
 1;2015; 27
 1;2015;  8
 1;2015; 78
 1;2015;  4
 1;2015;  0
 1;2015;  0
 1;2015; 28
 1;2015;  0
 1;2015;  2
 1;2015;  0
 1;2015; 17
 1;2015;173
 1;2015;  8
 1;2015;  1
 1;2015; 19
 1;2015;  4
 1;2015; 99
 1;2015; 11
 1;2015;  0
 1;2015;  0
 1;2015; 10
 1;2015;  0
 1;2015;  1
 1;2015;  0
 1;2015; 31
 1;2015;184
 1;2015;  6
 1;2015;  2
 1;2015; 35
 1;2015;  2
 1;2015; 63
 1;2015;  2
 1;2015;  0
 1;2015;  0
 1;2015; 16
 1;2015;  0
 1;2015;  0
 1;2015;  0
 1;2015; 27
 1;2015;153
 1;2015;  6
 1;2015;  1
 1;2015;112
 1;2015; 13
 1;2015;194
 1;2015; 28
 1;2015;  0
 1;2015;  0
 1;2015; 28
 1;2015;  0
 1;2015;  3
