from,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,Total
AC,,-4.191.853,-131.893.898,-16.772.907,-47.628.048,-52.060.225,-101.385.122,-78.705.664,-492.929.978,-11.137.742,-298.786.011,-144.047.290,-345.198.984,-105.443.898,-19.481.737,-87.631.011,360.682,-285.579.498,-87.569.418,-3.556.393,-1.572.147.939,3.328.428,-263.103.366,-93.676.028,-7.069.161,-1.185.466.515,-3.397.660,-5.435.171.238
AL,4.191.853,,-205.935.911,-1.806.098,-418.009.976,116.248.700,-86.749.880,143.319.701,-394.175.739,36.561.001,-932.530.318,-73.184.698,25.821.901,-221.502.566,-151.340.095,-5.428.855.242,146.343.702,-679.538.747,-452.364.315,110.277.072,-52.525.221,17.147.952,-599.029.137,-377.563.501,233.394.796,-1.518.776.651,1.711.082,-10.758.870.333
AM,131.893.898,205.935.911,,625.324.806,2.078.522.787,600.183.369,1.337.018.960,2.946.477.734,1.232.329.978,-277.339.726,5.244.888.602,571.516.600,-214.217.827,4.659.719.456,1.748.671.845,1.530.544.031,586.080.022,3.400.627.254,7.633.099.326,-14.961.855,5.843.410.635,2.054.794.135,2.234.726.444,2.906.733.474,248.951.781,21.518.222.791,252.515.332,69.085.669.763
AP,16.772.907,1.806.098,-625.324.806,,-109.841.097,-220.956.374,-71.225.402,-104.111.489,-374.283.840,-64.115.003,-335.210.584,-35.279.467,-32.813.096,-851.762.373,-45.476.659,-284.457.685,-22.193.728,-222.689.954,556.978.460,-14.594.938,-41.594.471,11.939.330,-229.531.324,-343.396.856,-33.497.856,-676.091.804,-32.601.963,-4.183.553.974
BA,47.628.048,418.009.975,-2.078.522.788,109.841.097,,2.017.876.426,400.488.744,-2.379.974.528,-1.773.416.964,2.117.869.061,-71.986.987,-413.722.332,194.527.307,225.333.926,483.045.016,-1.640.457.244,1.841.338.273,-2.872.105.381,-433.085.773,339.416.824,101.306.064,110.104.821,-1.951.974.083,-2.978.306.426,2.702.986.739,-16.042.966.406,251.112.061,-21.275.634.530
CE,52.060.225,-116.248.700,-600.183.369,220.956.374,-2.017.876.426,,-50.648.541,-840.608.739,-1.347.253.987,675.873.516,-3.509.467.934,-231.199.814,220.775.792,-460.738.001,-654.686.871,-7.548.221.715,1.069.078.433,-1.554.084.800,-972.696.076,557.070.358,-1.045.107.087,149.807.771,-2.029.861.538,-2.497.487.185,-119.592.670,-13.036.681.646,-452.328.641,-36.139.351.269
DF,101.385.122,86.749.880,-1.337.018.960,71.225.402,-400.488.744,50.648.541,,615.176.247,-3.870.335.238,169.142.483,-5.761.714.583,94.204.789,275.792.863,282.792.239,73.341.107,-1.660.634.556,201.823.595,-2.507.941.959,2.291.880.834,56.118.593,-109.792.078,54.765.614,-1.864.688.455,-1.990.401.044,34.656.288,-28.230.135.802,518.174.423,-42.755.273.398
ES,78.705.664,-143.319.701,-2.946.477.734,104.111.489,2.379.974.528,840.608.738,-615.176.247,,-929.749.203,561.632.940,-10.042.402.529,-86.887.525,244.193.928,549.035.192,433.608.048,1.712.724.037,380.746.920,717.089.244,10.466.413.113,646.324.955,-666.885.639,12.445.980,-405.708.640,1.641.151.059,626.489.555,-7.245.824.071,155.078.737,-1.532.097.163
GO,492.929.978,394.175.739,-1.232.329.979,374.283.840,1.773.416.964,1.347.253.987,3.870.335.237,929.749.204,,1.582.722.710,1.654.239.491,820.864.203,2.097.849.280,2.809.819.082,528.730.019,1.420.436.520,725.699.755,-3.096.292.947,2.213.049.417,610.636.282,483.831.202,224.929.711,-2.611.103.418,-3.590.874.358,144.021.052,-17.316.982.757,3.753.224.220,404.614.434
MA,11.137.742,-36.561.001,277.339.726,64.115.003,-2.117.869.061,-675.873.515,-169.142.483,-561.632.940,-1.582.722.710,,-1.706.624.128,-217.112.965,-290.114.921,2.131.695.369,-603.424.282,-2.492.317.118,2.441.214.509,-1.810.714.624,-1.393.036.202,161.364.085,-178.275.125,13.131.318,-1.389.908.260,-1.111.170.213,-207.631.909,-10.472.384.470,3.726.982.615,-18.189.535.563
